Date,FoodInd,BevInd,IndustInd
2001M04,79.46,67.91,78.31
2001M05,81.52,67.78,78.85
2001M06,81.36,63.45,76.88
2001M07,84.47,61.72,72.69
2001M08,84.35,63.2,69.26
2001M09,81.41,61.36,67.09
2001M10,77.22,60.65,64.52
2001M11,77.08,63.94,66.37
2001M12,77.11,66.29,65.59
2002M01,78.11,68.3,66.25
2002M02,77.47,71.93,68.13
2002M03,78.74,79.48,70.07
2002M04,78.1,78.24,70.73
2002M05,80.21,75.33,70.48
2002M06,82.44,76,72.52
2002M07,86.08,81.16,72.8
2002M08,86.62,83.28,72.04
2002M09,88.57,92.05,73.51
2002M10,88.52,94.02,73.72
2002M11,87.21,87.96,74.09
2002M12,87.89,91.26,72.21
2003M01,88.24,96.85,73.38
2003M02,87.6,99.02,74.33
2003M03,86.75,90.4,72.93
2003M04,86.44,89.79,72.42
2003M05,88.36,84.71,71.7
2003M06,86.27,79.8,72.41
2003M07,83.41,80.5,73.76
2003M08,84.53,80.54,75.31
2003M09,88.23,82.99,76.09
2003M10,92.96,78.69,78.9
2003M11,94.75,78.86,80.5
2003M12,95.12,83.69,82.22
2004M01,98.74,86.47,86.13
2004M02,101.71,84.99,89.19
2004M03,107.49,82.89,88.99
2004M04,109.09,79.22,87.93
2004M05,109.52,79.65,86.68
2004M06,105.56,82.1,88.46
2004M07,102.6,82.8,89.97
2004M08,98.1,86.99,89.42
2004M09,96.15,87.09,89.69
2004M10,93.3,81.48,91.76
2004M11,93.9,88.43,91.33
2004M12,95.23,94.27,90.34
2005M01,95.58,95.27,95.21
2005M02,98.79,106.45,96.52
2005M03,103.17,111.5,100.27
2005M04,100.48,102.83,98.2
2005M05,100.91,102.72,96.75
2005M06,100.96,104.95,97.82
2005M07,101.43,98.37,97.65
2005M08,100.09,97.36,100.67
2005M09,100.03,94.36,100.66
2005M10,100.35,94.51,102.07
2005M11,97.8,94.64,104.76
2005M12,100.42,97.05,109.41
2006M01,101.37,108.25,114.86
2006M02,104.35,109.65,118.72
2006M03,105.56,105.75,119.72
2006M04,108.05,104.93,130.44
2006M05,115.1,104.6,144.17
2006M06,115.82,104.05,136.45
2006M07,114.84,108.56,141.17
2006M08,112.6,110.62,142.85
2006M09,108.37,108.2,142.56
2006M10,110.8,106.8,147.06
2006M11,114.25,111.64,147.39
2006M12,114.84,117.48,150.49
2007M01,115.05,117.71,147.94
2007M02,118.99,117.19,150.88
2007M03,118.77,117.07,155.73
2007M04,118.3,119.27,167.02
2007M05,119.54,119.54,169.12
2007M06,124.62,124.82,162.94
2007M07,126.26,127.97,160.5
2007M08,128.65,121.98,148.86
2007M09,135.05,127.35,148.7
2007M10,137.23,129.13,150.4
2007M11,139.3,126.47,148.08
2007M12,145.97,131.19,141.94
2008M01,153.02,138.97,151.93
2008M02,165.52,159.23,159.57
2008M03,172.53,159.96,165.39
2008M04,171.57,154.51,164.82
2008M05,173.17,156.16,160.34
2008M06,179.71,167.33,158.21
2008M07,178.29,167.22,160.28
2008M08,164.85,165.55,151.18
2008M09,153.98,158.98,144.1
2008M10,129.83,135.24,122.45
2008M11,122.41,128.33,110.6
2008M12,119.6,132.54,99.14
2009M01,127.89,143.01,101.34
2009M02,124.61,143.59,99.35
2009M03,125.85,137.57,95.53
2009M04,131.88,141.23,99.76
2009M05,141.87,145.87,104.77
2009M06,143.18,148.02,113.27
2009M07,137.11,152.22,120.45
2009M08,135.4,157.65,135.66
2009M09,131.21,166.09,129.99
2009M10,132.35,170.7,133.5
2009M11,137.12,170.43,141.8
2009M12,139.52,176.7,149.29
2010M01,138.74,173.97,158.32
2010M02,138.12,167.48,154.59
2010M03,139.24,164.3,165.03
2010M04,143.07,169.63,179.81
2010M05,140.65,167,166.46
2010M06,136.49,173.92,157.71
2010M07,143.88,179.12,154.94
2010M08,151.36,181.08,166.47
2010M09,156.14,179.75,170.12
2010M10,163.18,180.71,181.45
2010M11,164.96,185.24,188.39
2010M12,176.43,192.58,197.21
2011M01,183.16,205.72,207.96
2011M02,189.34,221.05,215.65
2011M03,184.56,221.98,213.16
2011M04,190.8,216.67,217.3
2011M05,187.03,214.92,206.83
2011M06,181.7,208.75,204.62
2011M07,180.57,209.94,207.45
2011M08,182.33,209.56,198.68
2011M09,175.53,204.15,193.03
2011M10,165.95,189.94,175.78
2011M11,164.28,186.48,168.7
2011M12,162.14,177.49,165.99
2012M01,164.19,178.29,172.64
2012M02,169.43,176.33,177.52
2012M03,174.01,171.04,178.16
